%Longitude	Latitude	Mean Vel (mm/yr)	Stand Dev  V (mm/yr)
-122.2389289	48.50416201	-1.13677353	0.140820315
-123.1020432	48.08240316	-0.798755444	0.476052569
-121.7938782	46.85081097	2.469	6.8208
-122.1874893	47.70875539	-1.825001717	0.166735779
-122.1906809	46.20001345	-34.89464413	4.762808566
-122.6674164	47.75500936	-0.471323559	3.166587423
-122.9700122	46.67542932	-5.529344749	3.651011514
-121.985367	47.2033142	-0.031	5.2248
-122.2080922	47.98149514	-5.517175868	2.569668469
-122.5550826	48.82843576	-2.078	2.2628
-123.0271702	48.53064176	-8.994	1.8768
-122.18749	47.70875512	-0.242	1.0208
-122.8894701	46.11348747	-0.37	3.3658
-123.6023756	46.9775809	-1.393	4.2508
-122.3330609	48.38446133	1.13	3.6948
-122.8437665	47.04647976	2.693	2.3698
-122.8389176	47.04790495	0.896504714	13.19376401
-122.3208061	47.45119807	0.163	1.2158
-122.1366573	47.68066293	0.294	3.3838
-122.2047296	47.97688407	-1.607069907	1.720214022
-122.6701691	42.18069074	-0.396983309	1.135224582
-124.5633457	42.83609877	0.739350301	0.456305831
-122.008427	49.15660803	1.216353237	0.087804667
-123.9781236	45.4865152	0.306015992	0.3921519
-123.3046045	44.58553535	0.427653283	0.139323686
-122.8939588	42.37669393	-0.726409386	1.250115292
-122.4961325	45.61092046	-1.624557908	0.857685682
-123.3415137	43.21100867	0.092833668	0.130630907
-123.2442416	43.11879092	-0.130637595	0.026038026
-122.2876724	49.13800953	-0.96	5.2788
-123.2973799	42.43449401	0.51711813	0.202112331
-123.1091183	44.37756469	-0.95502431	0.197304005
-121.8493615	44.1195263	6.0660426	0.790570326
-121.5060027	43.66460177	-0.102	0.2838
-123.1066654	44.63435139	1.236087208	1.38618385
-124.1077086	43.98360561	1.185057011	12.18681342
-123.0900855	44.05122856	-0.25748342	0.065478088
-122.9557492	44.9738107	-0.071732415	0.08147152
-121.7111619	45.32866922	-5.174064142	2.352457346
-124.0864792	49.29481045	1.690714323	0.124644829
-124.0618866	44.58502473	1.409684355	0.418754166
-123.0981493	44.06596496	-1.198133665	0.34973582
-122.672772	45.50698647	-1.333	0.4538
-124.0140149	42.967378	0.502025501	0.255277081
-123.6855711	42.09897179	0.094598133	0.446897861
-123.632263	42.27535572	0.032567243	0.160602835
-124.2257884	42.20910385	2.329636371	0.089245649
-124.0540484	42.86006366	0.355464851	0.454801182
-124.4092901	43.09032776	2.29342164	0.515951198
-124.2534825	43.39551823	0.60667738	0.282481935
-123.9795938	43.61431059	0.169817109	0.640524451
-124.0615711	44.58524629	-0.313755202	0.162659313
-123.38342	42.50352457	-0.008999674	0.412094046
-123.4294598	43.14010499	0.074911023	0.102355255
-122.6563712	42.19098701	-0.222394762	0.234654096
-123.0578992	43.36327365	-0.121272198	0.415732238
-123.3332744	43.6225191	-0.051739462	0.1853749
-123.5906401	44.38192579	-0.272692871	0.40775446
-123.4269868	44.68925451	0.529395978	0.252166587
-123.1022661	44.94120289	-0.013853906	0.220671892
-122.8870579	44.05211872	-0.306019032	0.259370855
-122.9308814	44.53498241	0.131746585	0.534992329
-122.5770439	44.49650481	-0.404864635	0.024989226
-121.7796973	42.25967042	-0.723188885	0.24539097
-121.7695739	43.17705664	-0.991427392	0.982407674
-122.2172203	44.34218452	-0.50917865	0.506758036
-121.9458338	44.43484833	-1.160947139	0.492766641
-121.5744769	44.29675617	-1.527231293	0.277267006
-123.8575269	45.02227923	0.290283539	0.507483881
-123.8228954	45.3095133	0.502670207	0.424456108
-123.3903279	45.15853381	-0.196876341	0.174651091
-123.6437571	45.62932697	-0.326633426	0.020404248
-123.1522567	45.19037236	0.004962291	0.138127282
-123.931006	45.95464937	1.038165525	0.191665816
-123.2394775	45.85129368	-0.237113963	0.323850559
-123.1574171	45.53799288	0.031897006	0.598944396
-122.5891012	45.22110585	-0.720873514	0.42926223
-122.6928374	45.83486857	-0.956802305	0.370450001
-122.340631	45.43017873	-1.479506715	0.188569658
-121.87736	45.67612783	-1.817071173	0.669068127
-123.8913703	43.39249915	-0.113633813	0.800322597
-124.2932567	42.07663471	2.427782748	0.429857267
-121.880128	42.57983005	-0.167422024	0.877005843
-122.609233	45.59687298	-2.255317693	0.664178329
-121.6867476	43.99067266	-1.961962619	0.482215028
-122.4895059	42.7548447	-0.600231788	1.050605113
-124.8609556	49.25632933	3.238369778	0.27181478
-122.8208594	44.83070752	-0.319995369	0.133644464
-122.7342281	44.3961813	-1.565481789	0.947120036
-122.6919035	49.07418628	-3.562	1.6698
-122.5160721	45.61762718	-0.925608441	1.000605593
-122.9905282	45.52311908	-1.110845334	1.106090321
-122.8700531	45.17086415	-3.633062033	0.436406366
-123.2510515	49.35172068	1.475	4.5588
-122.3295382	49.05217377	1.845	6.1158
