%Lat	Lon	Elevation	Run dist 	Dist -20 km	Uplift rate 	Error 
						
%(deg N)	(deg E)	(m)	(km)	(km)	(mm/yr)	(mm/yr)
45.61361	-123.94278	5.977	608.55	23.33	1.09	0.38
						
45.58917	-123.94611	6.201	605.84	23.27	1.48	0.39
						
45.57111	-123.95167	4.885	603.73	22.99	1.6	0.39
						
45.57056	-123.95167	4.408	603.73	22.99	1.62	0.39
						
45.56861	-123.94167	5.003	603.93	23.79	1.65	0.39
						
45.56778	-123.93972	13.289	603.47	23.94	1.59	0.38
						
45.56083	-123.90778	4.2	600.45	26.49	1.43	0.39
						
45.56083	-123.93278	7.799	602.47	24.54	1.6	0.39
						
45.55972	-123.89222	6.047	598.69	27.71	0.78	0.37
						
45.52528	-123.88944	9.764	593.74	28.21	1.19	0.39
						
45.50778	-123.85389	10.78	590.16	31.13	1.61	0.71
						
45.50694	-123.84306	9.072	589.19	31.98	0.79	0.4
						
45.50306	-123.84222	7.053	588.95	32.08	0.82	0.74
						
45.50167	-123.84306	7.576	588.67	32.02	0.66	0.4
						
45.48917	-123.84444	20.313	587.15	32.02	1.15	0.4
						
45.48278	-123.85056	5.175	587.64	31.6	1.14	0.39
						
45.47917	-123.84333	7.411	586.07	32.2	1.09	0.4
						
45.47806	-123.84278	8.69	585.95	32.25	1.02	0.4
						
45.46722	-123.84278	5.338	584.73	32.34	0.63	0.4
						
45.46556	-123.8425	5.107	584.53	32.38	0.84	0.41
						
45.45917	-123.84278	4.925	583.85	32.41	0.96	0.41
						
45.45889	-123.84278	4.941	583.81	32.42	0.99	0.41
						
45.45694	-123.84167	8.336	583.39	32.52	0.78	0.39
						
45.45667	-123.84306	7.945	583.53	32.41	1.24	0.87
						
45.45	-123.84306	5.991	581.99	32.47	0.74	0.9
						
45.42306	-123.82278	3.518	578.18	34.28	0.38	0.98
						
45.41944	-123.82278	4.726	577.85	34.31	0.68	0.99
						
45.40667	-123.81333	12.796	575.86	35.15	0.94	0.4
						
45.40083	-123.80722	19.294	574.97	35.68	1.1	0.42
						
45.39611	-123.79167	32.376	573.21	36.93	1	0.41
						
45.38611	-123.79444	38.463	572.06	36.8	0.74	1.1
						
45.37972	-123.80333	39.329	570.96	36.15	1.17	1.13
						
45.37389	-123.80306	39.198	570.3	36.22	1	0.42
						
45.37167	-123.80278	41.421	570.09	36.26	0.57	1.14
						
45.365	-123.80306	42.865	569.32	36.29	0.98	0.43
						
45.35444	-123.80861	47.735	567.95	35.93	0.93	0.43
						
45.34111	-123.82417	51.524	565.92	34.81	1.31	0.43
						
45.32639	-123.83528	64.33	563.86	34.04	1.27	1.25
						
45.3225	-123.8375	62.973	563.39	33.89	1.07	1.26
						
45.31611	-123.83611	64.624	562.36	34.04	1.19	0.43
						
45.31167	-123.83611	59.523	561.98	34.07	1.43	0.42
						
45.30583	-123.83306	54.965	561.23	34.34	1.85	1.3
						
45.28667	-123.82139	35.916	558.71	35.38	1.29	0.43
						
45.27722	-123.82889	26.349	557.2	34.84	1.04	1.36
						
45.27694	-123.82528	28.274	557.54	35.13	1.22	0.44
						
45.26806	-123.84667	24.29	555.23	33.5	1.18	0.43
						
45.25194	-123.84722	16.871	553.42	33.53	1.17	1.42
						
